Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-2.7120e-02,1.05957
-2.7040e-02,1.06738
-2.6960e-02,1.0791
-2.6880e-02,1.10645
-2.6800e-02,1.03711
-2.6720e-02,1.12109
-2.6640e-02,1.07422
-2.6560e-02,1.08105
-2.6480e-02,1.12012
-2.6400e-02,1.00781
-2.6320e-02,1.35937
-2.6240e-02,1.72852
-2.6160e-02,1.91602
-2.6080e-02,1.57031
-2.6000e-02,1.37988
-2.5920e-02,1.5459
-2.5840e-02,1.625
-2.5760e-02,1.61523
-2.5680e-02,1.62988
-2.5600e-02,1.61133
-2.5520e-02,1.59473
-2.5440e-02,1.56738
-2.5360e-02,1.4502
-2.5280e-02,1.43652
-2.5200e-02,1.35937
-2.5120e-02,1.33789
-2.5040e-02,1.16113
-2.4960e-02,1.11816
-2.4880e-02,1.08496
-2.4800e-02,0.947265
-2.4720e-02,1.0332
-2.4640e-02,1.08594
-2.4560e-02,1.25781
-2.4480e-02,1.36035
-2.4400e-02,1.53906
-2.4320e-02,1.59277
-2.4240e-02,1.3916
-2.4160e-02,1.21777
-2.4080e-02,0.993164
-2.4000e-02,0.947265
-2.3920e-02,1.01367
-2.3840e-02,0.956054
-2.3760e-02,0.966797
-2.3680e-02,0.979492
-2.3600e-02,0.991211
-2.3520e-02,1.0752
-2.3440e-02,1.11523
-2.3360e-02,1.03516
-2.3280e-02,1.10352
-2.3200e-02,1.06738
-2.3120e-02,1.10742
-2.3040e-02,1.04785
-2.2960e-02,1.0918
-2.2880e-02,1.14551
-2.2800e-02,1.03027
-2.2720e-02,1.08496
-2.2640e-02,1.03125
-2.2560e-02,1.37305
-2.2480e-02,1.64551
-2.2400e-02,1.91602
-2.2320e-02,1.56152
-2.2240e-02,1.39062
-2.2160e-02,1.52246
-2.2080e-02,1.65234
-2.2000e-02,1.65137
-2.1920e-02,1.62012
-2.1840e-02,1.63379
-2.1760e-02,1.58105
-2.1680e-02,1.5459
-2.1600e-02,1.52051
-2.1520e-02,1.42578
-2.1440e-02,1.33691
-2.1360e-02,1.29785
-2.1280e-02,1.14941
-2.1200e-02,1.1084
-2.1120e-02,1.09375
-2.1040e-02,1.04395
-2.0960e-02,1.0498
-2.0880e-02,1.01855
-2.0800e-02,1.15234
-2.0720e-02,1.30078
-2.0640e-02,1.49902
-2.0560e-02,1.55762
-2.0480e-02,1.44043
-2.0400e-02,1.20898
-2.0320e-02,0.995117
-2.0240e-02,0.919922
-2.0160e-02,0.895508
-2.0080e-02,0.899414
-2.0000e-02,1.00684
-1.9920e-02,1.08105
-1.9840e-02,1.07812
-1.9760e-02,1.06348
-1.9680e-02,1.07227
-1.9600e-02,1.21484
-1.9520e-02,1.08496
-1.9440e-02,1.05664
-1.9360e-02,1.04297
-1.9280e-02,1.02051
-1.9200e-02,1.02051
-1.9120e-02,1.06738
-1.9040e-02,1.05469
-1.8960e-02,1.10059
-1.8880e-02,1.0332
-1.8800e-02,1.37988
-1.8720e-02,1.65625
-1.8640e-02,1.88574
-1.8560e-02,1.49121
-1.8480e-02,1.35352
-1.8400e-02,1.46484
-1.8320e-02,1.66602
-1.8240e-02,1.68555
-1.8160e-02,1.61523
-1.8080e-02,1.62695
-1.8000e-02,1.61523
-1.7920e-02,1.51953
-1.7840e-02,1.48828
-1.7760e-02,1.38867
-1.7680e-02,1.28613
-1.7600e-02,1.23242
-1.7520e-02,1.21484
-1.7440e-02,1.06445
-1.7360e-02,1.05664
-1.7280e-02,1.10937
-1.7200e-02,0.958008
-1.7120e-02,1.07617
-1.7040e-02,1.14355
-1.6960e-02,1.22559
-1.6880e-02,1.37109
-1.6800e-02,1.32715
-1.6720e-02,1.33789
-1.6640e-02,1.07422
-1.6560e-02,0.964844
-1.6480e-02,0.930664
-1.6400e-02,0.943359
-1.6320e-02,1.00879
-1.6240e-02,1.03809
-1.6160e-02,1.05273
-1.6080e-02,1.00293
-1.6000e-02,1.07422
-1.5920e-02,1.06641
-1.5840e-02,1.17773
-1.5760e-02,1.10742
-1.5680e-02,1.0498
-1.5600e-02,1.14453
-1.5520e-02,1.05371
-1.5440e-02,1.05469
-1.5360e-02,1.08301
-1.5280e-02,1.0918
-1.5200e-02,1.08008
-1.5120e-02,1.09277
-1.5040e-02,1.34277
-1.4960e-02,1.74316
-1.4880e-02,1.91309
-1.4800e-02,1.49707
-1.4720e-02,1.38574
-1.4640e-02,1.60059
-1.4560e-02,1.65332
-1.4480e-02,1.69336
-1.4400e-02,1.64062
-1.4320e-02,1.65137
-1.4240e-02,1.61816
-1.4160e-02,1.46387
-1.4080e-02,1.4502
-1.4000e-02,1.36133
-1.3920e-02,1.3291
-1.3840e-02,1.19824
-1.3760e-02,1.16309
-1.3680e-02,1.16895
-1.3600e-02,1.07129
