Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8.00E-05
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-2.62E-02,2.38906
-2.61E-02,1.07891
-2.60E-02,1.12031
-2.59E-02,1.21484
-2.58E-02,1.25703
-2.58E-02,1.06758
-2.57E-02,1.14102
-2.56E-02,1.11953
-2.55E-02,1.09922
-2.54E-02,1.24219
-2.54E-02,1.20703
-2.53E-02,1.16094
-2.52E-02,1.1418
-2.51E-02,1.05195
-2.50E-02,0.920703
-2.50E-02,0.782812
-2.49E-02,0.789453
-2.48E-02,0.798047
-2.47E-02,0.930859
-2.46E-02,1.13398
-2.46E-02,1.51992
-2.45E-02,1.79609
-2.44E-02,2.35664
-2.43E-02,2.58633
-2.42E-02,2.42305
-2.42E-02,1.66641
-2.41E-02,1.31602
-2.40E-02,1.14375
-2.39E-02,1.08164
-2.38E-02,1.01406
-2.38E-02,0.936328
-2.37E-02,0.808203
-2.36E-02,0.773047
-2.35E-02,0.784375
-2.34E-02,0.775
-2.34E-02,0.913672
-2.33E-02,0.972266
-2.32E-02,1.13008
-2.31E-02,1.28398
-2.30E-02,1.24375
-2.30E-02,1.30078
-2.29E-02,1.22891
-2.28E-02,1.14531
-2.27E-02,0.9375
-2.26E-02,0.833594
-2.26E-02,0.764062
-2.25E-02,1.65469
-2.24E-02,2.32227
-2.23E-02,1.06602
-2.22E-02,1.11719
-2.22E-02,1.19062
-2.21E-02,1.27969
-2.20E-02,1.15234
-2.19E-02,1.15234
-2.18E-02,1.10898
-2.18E-02,1.15039
-2.17E-02,1.09883
-2.16E-02,1.19961
-2.15E-02,1.17344
-2.14E-02,1.11953
-2.14E-02,1.03789
-2.13E-02,0.95
-2.12E-02,0.747656
-2.11E-02,0.776562
-2.10E-02,0.905859
-2.10E-02,1.05234
-2.09E-02,1.18984
-2.08E-02,1.44062
-2.07E-02,1.73477
-2.06E-02,2.19414
-2.06E-02,2.45508
-2.05E-02,2.2582
-2.04E-02,1.58633
-2.03E-02,1.26172
-2.02E-02,1.08984
-2.02E-02,0.953906
-2.01E-02,0.897656
-2.00E-02,0.903516
-1.99E-02,0.799609
-1.98E-02,0.691016
-1.98E-02,0.754687
-1.97E-02,0.801953
-1.96E-02,0.851953
-1.95E-02,0.973437
-1.94E-02,1.1957
-1.94E-02,1.27031
-1.93E-02,1.20742
-1.92E-02,1.29336
-1.91E-02,1.28789
-1.90E-02,1.17812
-1.90E-02,1.04844
-1.89E-02,0.857031
-1.88E-02,0.779687
-1.87E-02,1.7543
-1.86E-02,2.3918
-1.86E-02,1.14453
-1.85E-02,1.04062
-1.84E-02,1.24766
-1.83E-02,1.28867
-1.82E-02,1.14805
-1.82E-02,1.22734
-1.81E-02,1.0875
-1.80E-02,1.17305
-1.79E-02,1.19258
-1.78E-02,1.20312
-1.78E-02,1.22812
-1.77E-02,1.14375
-1.76E-02,1.06719
-1.75E-02,0.998437
-1.74E-02,0.828516
-1.74E-02,0.775391
-1.73E-02,0.757812
-1.72E-02,0.979297
-1.71E-02,1.14766
-1.70E-02,1.41797
-1.70E-02,1.68437
-1.69E-02,2.13008
-1.68E-02,2.31055
-1.67E-02,2.03125
-1.66E-02,1.44492
-1.66E-02,1.39961
-1.65E-02,1.08633
-1.64E-02,0.953906
-1.63E-02,0.931641
-1.62E-02,0.803125
-1.62E-02,0.811719
-1.61E-02,0.751172
-1.60E-02,0.761719
-1.59E-02,0.786719
-1.58E-02,0.870312
-1.58E-02,0.994922
-1.57E-02,1.16133
-1.56E-02,1.26133
-1.55E-02,1.2207
-1.54E-02,1.23828
-1.54E-02,1.27148
-1.53E-02,1.12852
-1.52E-02,1.09805
-1.51E-02,0.8625
-1.50E-02,0.764453
-1.50E-02,1.74961
-1.49E-02,2.39766
-1.48E-02,1.20273
-1.47E-02,1.15781
-1.46E-02,1.21133
-1.46E-02,1.25195
-1.45E-02,1.13516
-1.44E-02,1.17617
-1.43E-02,1.17227
-1.42E-02,1.20469
-1.42E-02,1.275
-1.41E-02,1.24766
-1.40E-02,1.10937
-1.39E-02,1.15898
-1.38E-02,1.00781
-1.38E-02,0.869141
-1.37E-02,0.869531
-1.36E-02,0.804687
-1.35E-02,0.759375
-1.34E-02,0.989844
-1.34E-02,1.1668
-1.33E-02,1.36797
-1.32E-02,1.64414
-1.31E-02,2.09023
-1.30E-02,2.27383
-1.30E-02,1.94531
-1.29E-02,1.50039
-1.28E-02,1.12227
-1.27E-02,0.9625
-1.26E-02,0.872656
-1.26E-02,0.839844
-1.25E-02,0.786719
-1.24E-02,0.735156
-1.23E-02,0.691016
-1.22E-02,0.739062
-1.22E-02,0.792187
-1.21E-02,0.89375
-1.20E-02,1.00234
-1.19E-02,1.18047
-1.18E-02,1.27422
-1.18E-02,1.31289
-1.17E-02,1.31758
-1.16E-02,1.23398
