Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8.00E-05
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,20
Label,
TIME,CH1
-4.00E-04,2.24609
-3.20E-04,3.16797
-2.40E-04,3.79688
-1.60E-04,39.5469
-8.00E-05,35.3398
-1.42E-15,29.9141
8.00E-05,27.1719
1.60E-04,24.7969
2.40E-04,23.6289
3.20E-04,23.9922
4.00E-04,23.0859
4.80E-04,18.668
5.60E-04,15.0664
6.40E-04,12.0781
7.20E-04,11.5117
8.00E-04,12.9492
8.80E-04,14.0547
9.60E-04,15.0234
1.04E-03,15.8359
1.12E-03,17.1367
1.20E-03,18.6133
1.28E-03,21.5273
1.36E-03,24.1758
1.44E-03,29.9766
1.52E-03,39.6563
1.60E-03,41.082
1.68E-03,32.6875
1.76E-03,27.5742
1.84E-03,24.8516
1.92E-03,23.1992
2.00E-03,21.8906
2.08E-03,22.2773
2.16E-03,21.5391
2.24E-03,17.4883
2.32E-03,14.1953
2.40E-03,11.3203
2.48E-03,11.0352
2.56E-03,12.918
2.64E-03,13.0898
2.72E-03,13.7148
2.80E-03,14.6211
2.88E-03,15.9688
2.96E-03,17.1992
3.04E-03,19.7773
3.12E-03,22.457
3.20E-03,28.0938
3.28E-03,36.7305
3.36E-03,37.5781
3.44E-03,29.5195
3.52E-03,25.4688
3.60E-03,22.9375
3.68E-03,21.3438
3.76E-03,20.5039
3.84E-03,20.7617
3.92E-03,20.2422
4.00E-03,16.1641
4.08E-03,12.9883
4.16E-03,10.5352
4.24E-03,10.1758
4.32E-03,10.2539
4.40E-03,11.6914
4.48E-03,12.3672
4.56E-03,13.3789
4.64E-03,14.3008
4.72E-03,15.668
4.80E-03,18.1172
4.88E-03,20.375
4.96E-03,25.1758
5.04E-03,33.543
5.12E-03,34.4492
5.20E-03,27.5703
5.28E-03,23.5898
5.36E-03,21.2734
5.44E-03,19.8516
5.52E-03,18.9219
5.60E-03,19.582
5.68E-03,18.8828
5.76E-03,15.1797
5.84E-03,13.0781
5.92E-03,10.2617
6.00E-03,9.96875
6.08E-03,11.2969
6.16E-03,11.2852
6.24E-03,11.8867
6.32E-03,12.6914
6.40E-03,13.3555
6.48E-03,14.6641
6.56E-03,16.8047
6.64E-03,18.9258
6.72E-03,22.7305
6.80E-03,29.4844
6.88E-03,29.5703
6.96E-03,22.457
7.04E-03,18.25
7.12E-03,15.5547
7.20E-03,13.3672
7.28E-03,11.5391
7.36E-03,9.79688
7.44E-03,8.21484
7.52E-03,6.94141
7.60E-03,5.16406
7.68E-03,4.28516
7.76E-03,4.53125
7.84E-03,5.38281
7.92E-03,6.98828
8.00E-03,8.50781
8.08E-03,9.95313
8.16E-03,11.4297
8.24E-03,12.9258
8.32E-03,14.7344
8.40E-03,16.8672
8.48E-03,20.125
8.56E-03,26.6758
8.64E-03,26.9531
8.72E-03,20.8203
8.80E-03,17.0469
8.88E-03,14.2305
8.96E-03,12.5781
9.04E-03,10.8789
9.12E-03,9.55469
9.20E-03,7.97656
9.28E-03,7.06641
9.36E-03,6.16016
9.44E-03,4.79688
9.52E-03,5.03516
9.60E-03,6.75781
9.68E-03,7.59766
9.76E-03,8.31641
9.84E-03,9.51563
9.92E-03,10.8125
1.00E-02,12.1211
1.01E-02,14.0078
1.02E-02,16.1523
1.02E-02,19.5898
1.03E-02,25
1.04E-02,25.4258
1.05E-02,19.3633
1.06E-02,15.8164
1.06E-02,13.5039
1.07E-02,11.6016
1.08E-02,9.92188
1.09E-02,8.39063
1.10E-02,7.15625
1.10E-02,5.71484
1.11E-02,4.08594
1.12E-02,3.25391
1.13E-02,3.84766
1.14E-02,4.1875
1.14E-02,5.82031
1.15E-02,7.24609
1.16E-02,8.51563
1.17E-02,9.64844
1.18E-02,10.9258
1.18E-02,12.5781
1.19E-02,14.6094
1.20E-02,17.7266
1.21E-02,23.1914
1.22E-02,23.5352
1.22E-02,18.207
1.23E-02,14.8828
1.24E-02,12.582
1.25E-02,10.9531
1.26E-02,9.49219
1.26E-02,8.19922
1.27E-02,6.87891
1.28E-02,6.34766
1.29E-02,5.46484
1.30E-02,4.24609
1.30E-02,4.60547
1.31E-02,6.01563
1.32E-02,6.69531
1.33E-02,7.42969
1.34E-02,8.30859
1.34E-02,9.43359
1.35E-02,10.6523
1.36E-02,12.1055
1.37E-02,13.9922
1.38E-02,16.9023
1.38E-02,21.7891
1.39E-02,22.1172
1.40E-02,16.9219
1.41E-02,13.7539
1.42E-02,11.6016
1.42E-02,10.125
1.43E-02,8.62891
1.44E-02,7.45313
1.45E-02,6.23047
1.46E-02,4.90625
1.46E-02,3.35938
1.47E-02,2.79688
1.48E-02,3.39453
1.49E-02,3.57031
1.50E-02,5.14844
1.50E-02,6.44141
1.51E-02,7.46875
1.52E-02,8.52344
1.53E-02,9.54688
1.54E-02,11.1406
1.54E-02,12.7578
