Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-1.44E-03,0.796875
-1.28E-03,0.875
-1.12E-03,0.883789
-9.60E-04,0.884766
-8.00E-04,0.920898
-6.40E-04,0.865234
-4.80E-04,0.860352
-3.20E-04,9.75781
-1.60E-04,23.208
-2.27E-15,13.7412
1.60E-04,8.13477
3.20E-04,3.85059
4.80E-04,2.21387
6.40E-04,3.33887
8.00E-04,4.21777
9.60E-04,4.52539
1.12E-03,4.33105
1.28E-03,28.9736
1.44E-03,42.6895
1.60E-03,32.8721
1.76E-03,23.9639
1.92E-03,16.5684
2.08E-03,10.6973
2.24E-03,5.47168
2.40E-03,2.1748
2.56E-03,5.65332
2.72E-03,11.668
2.88E-03,12.8506
3.04E-03,9.98828
3.20E-03,6.5498
3.36E-03,3.95801
3.52E-03,2.19531
3.68E-03,1.79883
3.84E-03,2.04297
4.00E-03,2.18066
4.16E-03,2.14062
4.32E-03,1.96582
4.48E-03,6.65137
4.64E-03,6.85352
4.80E-03,4.77637
4.96E-03,3.69629
5.12E-03,3.05859
5.28E-03,3.79492
5.44E-03,5.66504
5.60E-03,8.27441
5.76E-03,11.6201
5.92E-03,15.9463
6.08E-03,14.2656
6.24E-03,9.1875
6.40E-03,4.60547
6.56E-03,1.5459
6.72E-03,3.51172
6.88E-03,6.51172
7.04E-03,9.47461
7.20E-03,12.6514
7.36E-03,16.9307
7.52E-03,26.4521
7.68E-03,8.6709
7.84E-03,6.34277
8.00E-03,5.10156
8.16E-03,4.30664
8.32E-03,4.00977
8.48E-03,4.33203
8.64E-03,5.49512
8.80E-03,7.43457
8.96E-03,10.3438
9.12E-03,12.4814
9.28E-03,12.1309
9.44E-03,7.28906
9.60E-03,3.55371
9.76E-03,1.79785
9.92E-03,3.94531
1.01E-02,6.33789
1.02E-02,8.81152
1.04E-02,11.2363
1.06E-02,14.8428
1.07E-02,16.4531
1.09E-02,13.4111
1.10E-02,8.53027
1.12E-02,5.67285
1.14E-02,3.38184
1.15E-02,1.68652
1.17E-02,1.61328
1.18E-02,3.26562
1.20E-02,5.58789
1.22E-02,8.72852
1.23E-02,10.8145
1.25E-02,10.0732
1.26E-02,6.26172
1.28E-02,3.60938
1.30E-02,1.67871
1.31E-02,1.0957
1.33E-02,1.96191
1.34E-02,2.36523
1.36E-02,2.4668
1.38E-02,1.9707
1.39E-02,8.21289
1.41E-02,7.3623
1.42E-02,4.89062
1.44E-02,3.57715
1.46E-02,2.3291
1.47E-02,1.17578
1.49E-02,1.87207
1.50E-02,3.74414
1.52E-02,6.07422
1.54E-02,9.51855
1.55E-02,10.123
1.57E-02,7.66797
1.58E-02,4.65918
1.60E-02,2.86133
1.62E-02,1.58984
1.63E-02,1.4209
1.65E-02,1.74219
1.66E-02,1.96289
1.68E-02,2.37402
1.70E-02,2.49414
1.71E-02,7.22168
1.73E-02,7.41895
1.74E-02,5.20801
1.76E-02,3.83789
1.78E-02,3.04004
1.79E-02,2.9502
1.81E-02,3.7041
1.82E-02,5.04883
1.84E-02,7.20215
1.86E-02,9.68359
1.87E-02,8.97168
1.89E-02,6.00195
1.90E-02,3.3584
1.92E-02,1.5498
1.94E-02,1.30664
1.95E-02,2.3418
1.97E-02,3.62891
1.98E-02,4.92676
2.00E-02,6.91113
2.02E-02,10.2734
2.03E-02,7.5166
2.05E-02,5.84961
2.06E-02,4.56738
2.08E-02,3.6543
2.10E-02,3.22266
2.11E-02,3.14551
2.13E-02,3.67969
2.14E-02,4.7373
2.16E-02,6.59277
2.18E-02,8.10938
2.19E-02,7.8252
2.21E-02,5.05566
2.22E-02,2.96191
2.24E-02,1.3457
2.26E-02,1.17578
2.27E-02,1.91211
2.29E-02,2.82031
2.30E-02,3.56738
2.32E-02,4.49805
2.34E-02,5.23828
2.35E-02,2.35938
2.37E-02,1.49609
2.38E-02,1.68945
2.40E-02,1.78223
2.42E-02,2.00781
2.43E-02,2.50879
2.45E-02,3.20215
2.46E-02,4.44824
2.48E-02,6.38477
2.50E-02,7.6875
2.51E-02,6.86816
2.53E-02,4.45215
2.54E-02,2.91699
2.56E-02,1.76953
2.58E-02,1.44238
2.59E-02,1.77344
2.61E-02,2.34961
2.62E-02,2.97266
2.64E-02,3.98438
2.66E-02,4.97461
2.67E-02,4.49414
2.69E-02,3.67578
2.70E-02,2.96191
2.72E-02,2.5459
2.74E-02,2.43359
2.75E-02,2.81348
2.77E-02,3.61621
2.78E-02,4.76172
2.80E-02,6.89355
2.82E-02,7.15332
2.83E-02,5.28613
2.85E-02,3.41406
2.86E-02,2.27148
2.88E-02,1.77051
2.90E-02,1.73926
2.91E-02,1.8916
2.93E-02,2.11621
2.94E-02,2.51855
2.96E-02,3.59863
2.98E-02,9.98828
2.99E-02,9.66602
3.01E-02,6.97852
